system   D            wsystem.c:583  maybe_parent_dir                 [   0.00148] Also searching C:\Users\user\Source\Repos\My-Projects\Forgotten Dungeon (C++)\
display  D   display_settings.c:377  _al_score_display_settings       [   0.10244] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10248] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10253] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10256] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10270] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10275] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10280] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10284] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10289] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10292] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10297] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10301] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10306] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10309] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10314] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.10321] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.10509] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.10521] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.13576] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.15656] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.15667] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.15676] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.15688] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.15698] Returning d3d_display: 02D69820
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.15704] al_display=02D69820
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.15709] al_display->vt=02D61DD0
